event_id,customer_id,event_type,event_timestamp,device_type,device_id,ip_address,session_id
EVT00000001,C0001,balance_check,2024-01-15T10:00:00.000Z,Mobile,Chrome Browser,163.229.23.18,SES009964
EVT00000002,C0001,login,2024-01-15T10:00:01.000Z,,Safari,164.186.96.22,SES006903
EVT00000003,C0001,balance_check,2024-01-15T10:00:02.000Z,,Samsung Galaxy S23,216.163.11.142,SES001159
EVT00000004,C0001,transfer,2024-01-15T10:00:03.000Z,Tablet,iPhone 14,127.121.219.201,SES004319
EVT00000005,C0001,profile_update,2024-01-15T10:00:04.000Z,Desktop,Safari,101.194.170.90,SES008780
EVT00000006,C0001,loan_apply,2024-01-15T10:00:05.000Z,Desktop,iPhone 14,235.57.92.67,SES009067
EVT00000007,C0001,statement_download,2024-01-15T10:00:06.000Z,Desktop,Safari,210.10.190.135,SES003275
EVT00000008,C0001,logout,2024-01-15T10:00:07.000Z,,Safari,241.92.112.31,SES002000
EVT00000009,C0002,beneficiary_add,2024-01-15T10:00:00.000Z,Desktop,,187.101.253.11,SES005038
EVT00000010,C0002,transfer,2024-01-15T10:00:01.000Z,Mobile,Samsung Galaxy S23,61.222.141.83,SES009467
EVT00000011,C0002,statement_download,2024-01-15T10:00:02.000Z,Mobile,iPhone 14,160.39.86.155,SES007115
EVT00000012,C0002,profile_update,2024-01-15T10:00:03.000Z,,Chrome Browser,97.230.190.193,SES000897
EVT00000013,C0002,card_block,2024-01-15T10:00:04.000Z,Tablet,Chrome Browser,108.148.33.5,SES008963
EVT00000014,C0002,beneficiary_add,2024-01-15T10:00:05.000Z,,,116.189.7.231,SES009123
EVT00000015,C0002,logout,2024-01-15T10:00:06.000Z,Desktop,Chrome Browser,174.252.219.24,SES006519
EVT00000016,C0002,transfer,2024-01-15T10:00:07.000Z,,Safari,159.176.50.141,SES007319
EVT00000017,C0003,beneficiary_add,2024-01-15T10:00:00.000Z,,iOS App,190.164.170.230,SES002137
EVT00000018,C0003,balance_check,2024-01-15T10:00:01.000Z,Tablet,Chrome Browser,126.62.63.253,SES007865
EVT00000019,C0003,bill_pay,2024-01-15T10:00:02.000Z,,,203.227.95.228,SES000459
EVT00000020,C0003,card_block,2024-01-15T10:00:03.000Z,Mobile,,129.106.20.185,SES004198
EVT00000021,C0003,profile_update,2024-01-15T10:00:04.000Z,Tablet,iOS App,232.159.233.240,SES003501
EVT00000022,C0003,loan_apply,2024-01-15T10:00:05.000Z,Mobile,iOS App,102.72.27.157,SES005667
EVT00000023,C0003,balance_check,2024-01-15T10:00:06.000Z,Desktop,Android App,115.95.238.53,SES008247
EVT00000024,C0003,transfer,2024-01-15T10:00:07.000Z,,Android App,72.222.137.43,SES008836
EVT00000025,C0004,bill_pay,2024-01-15T10:00:00.000Z,Tablet,Samsung Galaxy S23,67.96.162.93,SES001925
EVT00000026,C0004,balance_check,2024-01-15T10:00:01.000Z,Mobile,Android App,241.111.142.168,SES003595
EVT00000027,C0004,loan_apply,2024-01-15T10:00:02.000Z,Desktop,Samsung Galaxy S23,219.205.139.16,SES002798
EVT00000028,C0004,beneficiary_add,2024-01-15T10:00:03.000Z,Desktop,Android App,143.102.59.135,SES003700
EVT00000029,C0004,beneficiary_add,2024-01-15T10:00:04.000Z,Mobile,Chrome Browser,181.219.90.17,SES007351
EVT00000030,C0004,profile_update,2024-01-15T10:00:05.000Z,Desktop,Android App,103.161.215.40,SES005028
EVT00000031,C0004,beneficiary_add,2024-01-15T10:00:06.000Z,Desktop,Samsung Galaxy S23,218.116.160.227,SES004360
EVT00000032,C0004,balance_check,2024-01-15T10:00:07.000Z,Desktop,Chrome Browser,109.95.90.30,SES004030
EVT00000033,C0005,profile_update,2024-01-15T10:00:00.000Z,,Chrome Browser,115.33.41.16,SES000981
EVT00000034,C0005,loan_apply,2024-01-15T10:00:01.000Z,,Samsung Galaxy S23,145.101.61.232,SES003285
